Timestamp,What kind of user are you?,Where do you work?,What country are you in?,Are you part of the U.S. Exascale Computing Project (ECP)?,What languages do you primarily program in?,What are your primary application areas?,How did you find out about Spack?,How long have you been using Spack?,Have you contributed to Spack?,What version(s) of Spack do you use?,What OS do you use Spack on?,How many software installations have you done with Spack in the past year?,What Python version(s) do you use to run Spack?,How bad would it be if Spack dropped support for Python 2?,How do you get installed Spack packages into your environment?,Which of the following Spack features do you use?,Do you have local Spack package repositories?,Do you have any local modifications to Spack itself?,Which processors do you expect to use with Spack in the next year?,Which GPUs do you expect to use with Spack in the next year?,Which compilers do you expect to use with Spack in the next year?,Rank these TBD Spack features by importance [Better error messages],Rank these TBD Spack features by importance [Compilers as proper dependencies],"Rank these TBD Spack features by importance [Separate concretization of build dependencies (build build tools with gcc/clang, not fancy compilers)]","Rank these TBD Spack features by importance [Optimized, public binary packages]",Rank these TBD Spack features by importance [Build testing for every PR],"Rank these TBD Spack features by importance [Language virtual dependencies (e.g., depends_on(""cxx@2017:""))]",Rank these TBD Spack features by importance [Testing / integration with Pavilion2/ReFrame/other test tool],Rank these TBD Spack features by importance [Better compiler flag handling],Rank these TBD Spack features by importance [Windows Support],Rank these TBD Spack features by importance [Autodetection of system packages],Rank these TBD Spack features by importance [Performance/speed improvements],Rank these TBD Spack features by importance [More reproducibility for environments],Rank these TBD Spack features by importance [Better GPU compiler support],Rank these TBD Spack features by importance [Generate GitHub Actions pipelines + build caches],Rank these TBD Spack features by importance [More developer features],What features NOT in the prior list would you like to see?,"If we had a (virtual) Spack user meeting, would you attend? ",Have you done a Spack Tutorial?,How do you get help with Spack when you need it?,How often do you consult the Spack documentation?,"If there were commercial support for Spack, would you or your organization buy it?",If there were a software foundation (ala Linux Foundation or CNCF) around Spack would it make you more likely to use/recommend Spack?,How would you rate the overall quality of ... [Spack documentation],How would you rate the overall quality of ... [Spack community],How would you rate the overall quality of ... [Spack packages],How would you rate the overall quality of ... [Spack],Tell us briefly about your use case and your usual Spack workflow.,What about Spack has helped you the most in the past year?,What are the biggest pain points in Spack for your workflow? (feel free to link to issues),What's the biggest thing we could do to improve Spack over the next year?,Are there key packages you'd like to see in Spack that are not included yet?,Do you have any other comments for us?,
12/16/2021 1:17:04,User Support Staff,University HPC/Computing Center,Switzerland,No,"Fortran, C++, Python, Go","Traditional HPC / Simulation, Molecular simulations",Word of mouth,4,"Packages, Core Features, Slack Discussions, GitHub Discussions, Issues","0.17, develop, custom fork","macOS, RHEL 8, CentOS 8, SLES15, openSuSE, Fedora, Cray XC, Cray EX, Gentoo","500-1,000","3.6, 3.7, 3.8, 3.9",I'd live (I can provide Python 3 somehow),Lmod,"Module generation, spack containerize, Stacks (matrices in environments), Build caches (binary packages), spack-python (Python scripting), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, Distributed Builds (srun/mpirun spack install), New concretizer (clingo), spack develop, spack install --reuse",Yes -- just one,Yes,"AMD, Intel, ARM","NVIDIA Ampere, NVIDIA Other, AMD MI200, Intel Xe (Ponte Vecchio)","gcc, Intel Compilers, Intel OneAPI / dpc++, NVHPC (new NVIDIA PGI compilers), LLVM, AMD ROCmCC / hipcc, nvcc (CUDA), CCE (Cray Compilers)",Critical,Somewhat important,Somewhat important,Critical,Critical,Not Important,Critical,Critical,Not Important,Critical,Critical,Critical,Critical,Critical,Not Important,,Maybe,Yes,"Coworkers, Source Code",Weekly,Probably not,"Yes, definitely!",OK,Horrible,OK,OK,,Install corner-case software,Spack Performance! It is very slow! ,"Concretize the features. Most features in Spack seem to be half-baked, like spack containerize.",,Is it possible to have a stable API for package development? Because freezing a version of Spack is very difficult and moving with develop is terrible because packages break left and right.,
12/16/2021 1:35:06,Software Developer,University HPC/Computing Center,Switzerland,No,"Fortran, C++",Traditional HPC / Simulation,Word of mouth,2,No,develop,"macOS, Ubuntu 20, Cray XC",1 - 10,"3.7, 3.8, 3.9",Do it!,"spack load, spack build-env","build-env (debug a build), spack external find, spack load",No,No,"AMD, Intel","NVIDIA Volta, NVIDIA Ampere, AMD MI100, AMD MI200",gcc,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Not Important,Very Important,Slightly Important,Somewhat important,Very Important,Slightly Important,Somewhat important,,"Yes, I'd attend",No,"Documentation, Slack, Coworkers, spack help",Monthly,Probably,"Yes, definitely!",Good,Excellent,Good,Good,build all dependencies for material science codes,full automation of dependency builds,,,,Great job!,
12/16/2021 1:35:44,Research Software Engineer (RSE),Other Public Research Lab,Germany,No,"C++, Python",Traditional HPC / Simulation,Search,2,"Packages, Issues",0.17,"CentOS 7, CentOS 8, Ubuntu 18, Ubuntu 20",100 - 200,"3.6, 3.7, 3.8",Do it!,"spack load, Spack environments, Environment Modules (TCL modules), Containers","Environments, Module generation, Chaining (upstreams), build-env (debug a build), Externals in packages.yaml, Concretization preferences in packages.yaml, Distributed Builds (srun/mpirun spack install), New concretizer (clingo), spack install --reuse, spack load",Yes -- just one,No,"AMD, ARM","NVIDIA Volta, NVIDIA Other","gcc, Intel OneAPI / dpc++, LLVM",Very Important,Somewhat important,Not Important,Not Important,Slightly Important,Very Important,Not Important,Slightly Important,Not Important,Very Important,Slightly Important,Somewhat important,Slightly Important,Not Important,Not Important,,Maybe,No,"Documentation, Slack, GitHub",Weekly,Probably not,Probably not,Good,Good,Good,OK,,,,,,,
12/16/2021 1:37:45,Computational Scientist,Other Public Research Lab,India,No,"Fortran, C, C++, Python, Perl, R","Traditional HPC / Simulation, AI/ML, Computer Science Research, Bioinformatics, High Energy Physics, Compiler Testing",Search,3,"Packages, Slack Discussions, GitHub Discussions, Issues",develop,"RHEL 8, CentOS 7, Ubuntu 20, Cray XC",200 - 500,3.8,I'd live (I can provide Python 3 somehow),"spack load, Spack environments, Environment Modules (TCL modules)","Environments, Module generation, Chaining (upstreams), Build caches (binary packages), spack external find, New concretizer (clingo), spack install --reuse, spack load, spack diff (compare two specs)",Yes -- just one,No,"AMD, Intel, ARM","NVIDIA T4, NVIDIA Volta, NVIDIA Ampere, Intel Xe (Ponte Vecchio)","gcc, Intel Compilers, Intel OneAPI / dpc++, PGI, NVHPC (new NVIDIA PGI compilers), LLVM, AMD ROCmCC / hipcc, IBM XL, CCE (Cray Compilers), Fujitsu Compilers, armclang",Critical,Very Important,Very Important,Very Important,Not Important,Somewhat important,Critical,Critical,Not Important,Somewhat important,Critical,Somewhat important,Very Important,Not Important,Very Important,,"Yes, I'd attend",Yes,"Documentation, Slack, GitHub, spack help, Source Code",Weekly,Probably not,"Yes, definitely!",Excellent,Good,Good,Excellent,,,,,fds,,
12/16/2021 1:49:57,Computational Scientist,Company,Switzerland,No,"Fortran, Python","Traditional HPC / Simulation, AI/ML, Compiler Testing",Search,4,"Packages, Documentation, Slack Discussions, Issues",develop,"macOS, Arch, SLES15, openSuSE, Cray XC, Cray EX",100 - 200,"3.6, 3.8, 3.9",Do it!,"Lmod, Environment Modules (TCL modules)","Environments, Module generation, build-env (debug a build), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, spack develop",No,No,"AMD, ARM","AMD MI200, Intel Xe (Ponte Vecchio)","gcc, Intel Compilers, Intel OneAPI / dpc++, LLVM, AMD ROCmCC / hipcc, CCE (Cray Compilers)",Very Important,Very Important,Somewhat important,Not Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Not Important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Not Important,Not Important,,"Yes, I'd attend",Yes,"Slack, Source Code",Weekly,Probably not,Probably,OK,Good,OK,Good,Build packages (cp2k) with complicated dependency trees.,Easy possibility to try the same application with different providers for blas/lapack/etc.,,Better user focus. A lot of documentation and messages could be formulated in a way an average user would understand better.,,,
12/16/2021 1:56:54,DevOps/SRE,University HPC/Computing Center,Australia,No,Python,"Traditional HPC / Simulation, Compiler Testing",AHUG cloud hackathon,1,No,develop,"CentOS 7, Ubuntu 20",10 - 100,"3.7, 3.9",Do it!,"spack load, Environment Modules (TCL modules)","Environments, Module generation, spack containerize, New concretizer (clingo)",No,No,"AMD, Intel, ARM","NVIDIA T4, NVIDIA Volta, NVIDIA Ampere","gcc, Intel OneAPI / dpc++, LLVM",Very Important,Very Important,Slightly Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not Important,Slightly Important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Static libc!!,Maybe,Yes,"Documentation, GitHub, Source Code",Monthly,Probably not,Probably,OK,Good,Excellent,Good,,,,,,,
12/16/2021 2:19:57,DevOps/SRE,Other Public Research Lab,France,No,Python,Traditional HPC / Simulation,Word of mouth,0,"Packages, Slack Discussions, GitHub Discussions, Issues",0.17,"CentOS 7, CentOS 8, Debian 10, Debian 11",100 - 200,3.8,I'd live (I can provide Python 3 somehow),Lmod,"Environments, Module generation, spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml",No,No,"AMD, Intel, IBM Power",NVIDIA Ampere,"gcc, Intel Compilers, Intel OneAPI / dpc++, nvcc (CUDA)",Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Not Important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,,"Yes, I'd attend",No,"Documentation, Slack, GitHub, Source Code",Daily,Probably not,Probably,Good,Excellent,Excellent,Excellent,,,,,,,
12/16/2021 2:25:30,Computational Scientist,Other Public Research Lab,Italy,No,"C, C++","Traditional HPC / Simulation, Compiler Testing",Used at my site,5,"Packages, Core Features, Issues","0.17, develop, custom fork","macOS, RHEL 8, CentOS 8, Ubuntu 20","500-1,000","2.7, 3.8, 3.9, 3.10",Unacceptable,Environment Modules (TCL modules),"Module generation, Chaining (upstreams), build-env (debug a build), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml",Yes -- just one,No,"AMD, Intel, IBM Power, ARM, RISC-V","NVIDIA Volta, NVIDIA Ampere, AMD MI200, Intel Xe (Ponte Vecchio)","gcc, Intel OneAPI / dpc++, LLVM, AMD ROCmCC / hipcc, nvcc (CUDA), armclang",Somewhat important,Very Important,Very Important,Critical,Critical,Slightly Important,Not Important,Very Important,Not Important,Critical,Critical,Very Important,Critical,Not Important,Very Important,,"Yes, I'd attend",No,"Documentation, Coworkers, GitHub, Source Code",Weekly,Probably,Probably,OK,Good,Good,Good,,,Packages changing their hash across upstream commits.,,,,
12/16/2021 2:35:30,Scientist/Researcher,Other Public Research Lab,Hungary,No,"Python, sh/bash/other shell script",Traditional HPC / Simulation,Word of mouth,3,"Packages, Issues","0.17, develop",Arch,100 - 200,"3.7, 3.8, 3.9, 3.10",Do it!,"spack load, Spack environments","Environments, Module generation, spack load",No,No,"AMD, Intel","NVIDIA Other, AMD Other","gcc, LLVM, nvcc (CUDA)",Slightly Important,Slightly Important,Very Important,Somewhat important,Somewhat important,Very Important,Slightly Important,Very Important,Slightly Important,Very Important,Very Important,Very Important,Very Important,Slightly Important,Slightly Important,,"Yes, I'd attend",No,"Documentation, spack help",Monthly,Probably not,Probably,Good,Excellent,Excellent,Excellent,"Managing a small (5 node) heterogeneous (1x Zen, 3x Skylake, 1x Nehalem, 3x NVidia GeForce GTX 1080Ti, 1x 1050Ti) HPC cluster. Main usage: GROMACS+PLUMED, several versions installed in by-architecture environments, selected automatically in the SLURM prolog script.","Dependency management, isolated installation of several versions of the same package",,"Nestable environments (or means for including portions in the spack.yaml of the environments), to be able to avoid specifying the same list of packages in similar environments.",,Keep up the good work!,
12/16/2021 2:46:28,Scientist/Researcher,University research group,Germany,No,"C++, Python, sh/bash/other shell script","Traditional HPC / Simulation, Compiler Testing, Embedded Systems, Computational Neuroscience, Neuromorphic Hardware",Search,4,"Packages, Core Features, GitHub Discussions, Issues, Tools/integrations","0.16, 0.17, develop","CentOS 7, Debian 11","> 1,000","2.7, 3.8",Do it!,"spack view, Containers, multiple spack views in custom container image build flow (singularity/apptainer-based image, multiple ""apps"" one for each view)","Module generation, Chaining (upstreams), Build caches (binary packages), build-env (debug a build), Python extensions (link python packages into interpreter prefix), Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo)",Yes -- just one,Yes,"AMD, Intel, ARM",NVIDIA Other,"gcc, LLVM, AMD ROCmCC / hipcc, nvcc (CUDA)",Somewhat important,Very Important,Critical,Not Important,Slightly Important,Very Important,Not Important,Very Important,Not Important,Not Important,Somewhat important,Very Important,Very Important,Not Important,Somewhat important,,"Yes, I'd present something!",Yes,"Documentation, GitHub, Source Code",Weekly,No,Probably not,Good,Good,OK,Good,"We use spack as our only package manager; we use it to provide containerized spack-based software & hardware development environments as well as user software environments for using our self-developed accelerated mixed-signal neuromorphic hardware. (I.e. all software that is used for development OR usage of the hardware is ""spackified"".)","The ease of deploying a 400-package software environment onto different underlying distributions (e.g. switching from our default Debian-based amd64 to a ARM-based Debian, or to an old CentOS7).",Before clingo: concretization speed; now: error messages if concretization fails ;).,"Separating build-time dependencies and runtime dependencies (e.g. for ""conflicting"" but embedded lua interpreters).",,,
