Timestamp,What kind of user are you?,Where do you work?,What country are you in?,Are you part of the U.S. Exascale Computing Project (ECP)?,Are you part of any EuroHPC joint undertaking projects? (https://eurohpc-ju.europa.eu/),Are you part of some other project that uses Spack that you'd like us to highlight (leave blank if not)?,What languages do you primarily program in?,What are your primary application areas?,How did you find out about Spack?,How long have you been using Spack?,Have you contributed to Spack?,What version(s) of Spack do you use?,What OS do you use Spack on?,How many software installations have you done with Spack in the past year?,What Python version(s) do you use to run Spack?,How do you get installed Spack packages into your environment?,Which of the following Spack features do you use? (details at https://github.com/spack/spack/releases),Do you have local Spack package repositories?,Do you have any local modifications to Spack itself?,Do you use any third-party tools/front-ends to do development with Spack?,Which processors do you expect to use with Spack in the next year?,Which GPUs do you expect to use with Spack in the next year?,Which compilers do you expect to use with Spack in the next year?,Rank these TBD Spack features by importance [Better error messages],Rank these TBD Spack features by importance [Compilers as proper dependencies],"Rank these TBD Spack features by importance [Separate concretization of build dependencies (build build tools with gcc/clang, not fancy compilers)]","Rank these TBD Spack features by importance [Language virtual dependencies (e.g., depends_on(""cxx@2017:""))]",Rank these TBD Spack features by importance [Testing / integration with Pavilion2/ReFrame/other test tool],Rank these TBD Spack features by importance [More packages in public build caches],Rank these TBD Spack features by importance [Better organized/publicized public build caches],Rank these TBD Spack features by importance [Better compiler flag handling],Rank these TBD Spack features by importance [Performance/speed improvements],Rank these TBD Spack features by importance [Better autodetection of system packages],Rank these TBD Spack features by importance [Better GPU compiler support],Rank these TBD Spack features by importance [Generate GitHub Actions pipelines + build caches],Rank these TBD Spack features by importance [More developer features],Rank these TBD Spack features by importance [Improvements for `spack test`],Rank these TBD Spack features by importance [Better CI Stability / faster PR turnaround],Rank these TBD Spack features by importance [SpackOS/support for custom libc],What features NOT in the prior list would you like to see?,"We're planning an in-person Spack user meeting in August, will you plan to attend?",Have you done a Spack Tutorial?,How do you get help with Spack when you need it?,How often do you consult the Spack documentation?,"If there were commercial support for Spack, would you or your organization buy it?",If there were a software foundation (ala Linux Foundation or CNCF) around Spack would it make you more likely to use/recommend Spack?,How would you rate the overall quality of ... [Spack documentation],How would you rate the overall quality of ... [Spack community],How would you rate the overall quality of ... [Spack packages],How would you rate the overall quality of ... [Spack],Tell us briefly about your use case and your usual Spack workflow.,What about Spack has helped you the most in the past year?,What are the biggest pain points in Spack for your workflow? (feel free to link to issues),What's the biggest thing we could do to improve Spack over the next year?,Are there key packages you'd like to see in Spack that are not included yet?,Do you have any other comments for us?,"If you're interested in being contacted about your response, please leave us your email."
2/26/2023 14:12:52,Solutions Architect,Cloud Provider,United States,No,No,,"Fortran, C",HPC / Simulation,Birds-of-a-feather (BOF) at conference,5,Packages,develop,Amazon Linux,"500-1,000",3.1,spack load,"Environments, spack containerize, Build caches (making binary packages), spack external find, spack develop",No,No,No,"AMD, Intel, ARM",No GPUs,"gcc, Intel Compilers, Intel OneAPI, NVHPC",Not Important,Very Important,Not Important,Not Important,Not Important,Very Important,Very Important,Very Important,Very Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,,"Yes, I'd like to attend",Yes,"Documentation, Slack",Weekly,Probably not,Probably not,Good,Excellent,Good,Excellent,,,,,,,
2/26/2023 14:39:00,Scientist/Researcher,University research group,Canada,No,No,,"C++, Python, sh/bash/other shell script","HPC / Simulation, Statistics / Data Analysis, AI/ML, High Energy Physics",Word of mouth,4,"Packages, Documentation, Slack Discussions, Issues","0.19, develop","Ubuntu 20, Ubuntu 22, Debian 11","500-1,000","3.10, 3.11","Spack environments, spack view, Containers","Environments, spack containerize, Chaining (upstreams), Stacks (matrices in environments), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), Public build caches at https://binaries.spack.io, spack ci (GitLab pipeline generation -- yourself, not on our CI), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, New `require:` directive in packages.yaml, spack ci (generate GitLab Pipelines), New concretizer (clingo), spack develop, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Multiple build systems in one package, Git versions, spackbot (@spackbot fix style; @spackbot rebuild everything, etc.)",Yes -- several,No,No,"AMD, Intel, ARM",NVIDIA T4,"gcc, Intel OneAPI, LLVM, nvcc (CUDA)",Somewhat important,Very Important,Somewhat important,Very Important,Not Important,Not Important,Not Important,Somewhat important,Slightly Important,Slightly Important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Not Important,,Maybe,Yes,"Documentation, Slack, GitHub Issues, Source Code",Weekly,No,Probably,Excellent,Excellent,Good,Excellent,Providing consistent containerized and cvmfs environments for distributed grid-based high energy physics simulations and analysis of these simulations by a user community of ~500 active researchers.,Git version integration in spack packages.,"Inability to 'layer' concretized environments, i.e. add packages to an already concretized environment, taking the already concretized environment specs as entirely fixed and unchangable.",Compilers as dependencies.,,,
2/26/2023 14:44:50,Scientist/Researcher,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,Yes,No,,"C++, Python, sh/bash/other shell script","HPC / Simulation, Computer Science Research",Tutorial,4,No,develop,"Ubuntu 18, Ubuntu 20, Ubuntu 22, Debian 11",10 - 100,"3.9, 3.10",Lmod,"Environments, Module generation",No,Yes,No,"AMD, Intel","NVIDIA Ampere, NVIDIA Hopper, AMD MI300, Intel Xe (Ponte Vecchio)","gcc, Intel OneAPI, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), armclang",Very Important,Critical,Very Important,Very Important,Not Important,Not Important,Not Important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Very Important,,No,No,"Documentation, Slack",Monthly,No,"Yes, definitely!",Excellent,Excellent,Excellent,Excellent,,,,,,,
2/26/2023 14:58:00,System Administrator,University research group,Brazil,No,No,,"C, C++, Python",Computer Science Research,Search,0,No,0.19,Debian 10,100 - 200,3.9,Lmod,Module generation,Yes -- just one,Yes,No,Intel,"NVIDIA Volta, NVIDIA Ampere","gcc, Intel Compilers, Intel OneAPI, NVHPC, nvcc (CUDA)",Critical,Critical,Slightly Important,Critical,Not Important,Slightly Important,Slightly Important,Critical,Critical,Critical,Critical,Not Important,Not Important,Not Important,Not Important,Not Important,,"Yes, I'd like to attend",Yes,"Documentation, GitHub Issues, GitHub Discussions",Weekly,No,"Yes, definitely!",Excellent,Excellent,Good,Excellent,"I install every HPC package with spack, except slurm. ","I refactored the HPC environment last year, and spack helped to build the essential packages used in my research group.",Wait several minutes to build a package and get dependencies error messages. ,"Improve compilation time, and include more configuration setting as variants. ","No, but better support for slurm.","Excellent work, as an HPC manager, spack improved my productivity. ",
2/26/2023 15:27:06,Student,University research group,France,No,Yes,,"C, C++, Python, Rust, sh/bash/other shell script, Lua","HPC / Simulation, Computer Science Research, High Energy Physics, Compiler Testing",Word of mouth,1,No,develop,Arch,10 - 100,3.1,spack load,"Environments, Module generation, Git versions, spack load",No,No,No,"AMD, Intel, ARM","NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, AMD MI200/250X, AMD MI300, Intel Xe (Ponte Vecchio)","gcc, Intel OneAPI, NVHPC, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), armclang",Very Important,Very Important,Critical,Critical,Not Important,Slightly Important,Slightly Important,Very Important,Very Important,Critical,Very Important,Not Important,Not Important,Somewhat important,Not Important,Somewhat important,,No,Yes,"Documentation, Coworkers, GitHub Issues, GitHub Discussions, spack help",Monthly,Probably,Probably not,Good,Good,Excellent,Excellent,I primarily use Spack on remote clusters to install the compilers and libraries that I need. It is also useful when I want to install some software that depends on something that isn't installed by default on cluster machines (e.g. my text editor of choice - Helix - depends on cargo/rustc to be built from source).,Quickly setting up environments on remote clusters for trying out multiple compilers on HPC applications.,"Long build times, sometimes rebuilding dependencies that are already installed/available on the system.",,,Thanks a lot for your great work! Spack is an awesome tool to use for HPC people,
2/26/2023 16:02:33,Research Software Engineer (RSE),"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,No,No,,"Python, sh/bash/other shell script",Bioinformatics,Word of mouth,1,"Slack Discussions, Issues",0.19,RHEL 8,10 - 100,3.8,"Spack environments, Lmod","Environments, Module generation, spack containerize, Build caches (making binary packages), Distributed Builds (srun/mpirun spack install), New concretizer (clingo)",No,No,No,AMD,No GPUs,"gcc, LLVM",Critical,Slightly Important,Slightly Important,Not Important,Not Important,Somewhat important,Slightly Important,Slightly Important,Somewhat important,Very Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,,No,No,"Documentation, Slack, Coworkers, GitHub Issues, spack help",Daily,Probably not,Probably not,Good,Excellent,OK,Good,,,non-anonymous environments stored outside of $spack_root (so that they can be kept in a git repo),,,slack community is amazing - response time is outstanding,
2/26/2023 16:08:27,Scientist/Researcher,University research group,Portugal,No,No,,"C++, Python, Julia","HPC / Simulation, High Energy Physics",Search,3,"Packages, Issues",develop,"RHEL 8, CentOS 7, Windows Subsystem for Linux (WSL)",10 - 100,3.11,"Spack environments, spack view","Environments, spack external find, Externals in packages.yaml, New concretizer (clingo)",No,Yes,No,"AMD, Intel",NVIDIA Ampere,"gcc, Intel Compilers, Intel OneAPI, LLVM",Critical,Critical,Somewhat important,Somewhat important,Not Important,Not Important,Not Important,Somewhat important,Somewhat important,Critical,Somewhat important,Not Important,Somewhat important,Not Important,Not Important,Slightly Important,Better autodetection of system packages,No,No,"Documentation, GitHub Issues, GitHub Discussions, Source Code",Weekly,No,Probably,Excellent,Excellent,Excellent,Excellent,,,,,,,
2/26/2023 16:29:27,Scientist/Researcher,Other Public Research Lab,Canada,No,No,,"C++, Julia",HPC / Simulation,Birds-of-a-feather (BOF) at conference,5,"Packages, Core Features, Slack Discussions, GitHub Discussions, Issues","0.19, develop, custom fork","macOS 11 (Ventura), Ubuntu 20",100 - 200,"2.7, 3.9, 3.10",spack view,"Environments, spack containerize, Externals in packages.yaml, New concretizer (clingo), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), spackbot (@spackbot fix style; @spackbot rebuild everything, etc.)",No,Yes,,"AMD, Intel, IBM Power, ARM","NVIDIA T4, NVIDIA Volta, NVIDIA Ampere, AMD MI300","gcc, NVHPC, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA)",Somewhat important,Very Important,Somewhat important,Slightly Important,Not Important,Not Important,Not Important,Slightly Important,Slightly Important,Somewhat important,Very Important,Not Important,Slightly Important,Not Important,Very Important,Not Important,"- Concretizer (Clingo) should not use old package versions unless there's a good reason.
- Clingo should tell me the reasons for what it's doing, and why it's failing.",No,Yes,"Documentation, Slack, Source Code",Monthly,No,Probably not,Horrible,Good,Good,OK,"For the Einstein Toolkit http://einsteintoolkit.org/, I want to provide the software dependencies on a wide range of systems (laptop, HPC, CUDA or not, various CPUs, etc.), so that the Einstein Toolkit sees the same or very similar environments everywhere.

In my work flow, I log into an HPC system, build a modern GCC via Spack, then have a headache which MPI/ROC libraries I can use and how to make them palatable to Spack, then build everything else (about 20 package plus their dependencies).

I do not care about build time. I do care a bit about disk space since HPC centres are stingy with their home directory quota.","Going from a single `spack.yaml` to a complete software install in a relatively reliable manner is very convenient.

The alternative would be Docker images, but containers on HPC systems haven't advanced far enough yet.","Sometimes one needs to use existing software packages on HPC systems (MPI, ROC). I wish the HPC centres maintained `packages.yaml` files for these.

Spack doesn't remember when I create a view for packages, and won't warn when I uninstall them.","Compilers should be proper dependencies. In a similar manner, build tools (cmake etc.) probably don't need to use the same dependencies, so this could be relaxed.","No, I've been submitting my software packages, and you've accepted them.",Thanks for the hard work!,
2/26/2023 16:38:25,Research Software Engineer (RSE),University research group,United States,No,No,PSAAP-III,"C++, Python, Julia","HPC / Simulation, Computer Science Research, High Energy Physics",Used at my site,1,Packages,develop,"macOS 10.15 (Catalina), Ubuntu 18, Ubuntu 20, Ubuntu 22",10 - 100,"3.10, 3.11","spack load, Spack environments","Environments, spack containerize, build-env (debug a build), spack ci (GitLab pipeline generation -- yourself, not on our CI), spack-python (Python scripting), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo), spack develop, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Multiple build systems in one package, Variant/flag propagation (++, ~~, ==), Git versions, spack load",No,No,No,"AMD, Intel","NVIDIA T4, NVIDIA Volta, NVIDIA Ampere, AMD MI100","gcc, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), apple clang",Not Important,Critical,Very Important,Critical,Not Important,Very Important,Very Important,Critical,Slightly Important,Somewhat important,Very Important,Very Important,Very Important,Not Important,Not Important,Not Important,,Maybe,Yes,"Documentation, GitHub Issues",Monthly,Probably not,Probably,OK,Excellent,Excellent,Excellent,I build complex compilers and DSLs. Getting undergrads and other grad students to use them is a pain when they have to build them. So is getting CI up and running. I've solved this by building spack packages for them. Using spack to allow grad students to easily install them via the basic install workflow or distributing dockerfiles to undergrads is basically my workflow.,Mainly its existence and the dockerfiles.,"Python packages: in particular, the interaction of Spack with things like virtualenv. I'd love a bespoke way to use Spack with those, but so far I've only hacked around the issue. Though honestly I've not looked into this very much so maybe there is a way that I just don't know of.

Better spec language documentation: I don't feel like there is a single place where I can find a grammar and semantics for specs described in the docs. I had to look at the code to find the exact spec. Again, maybe I've just not found it yet, but a simple grammar and PL style spec would be nice.","Compilers as dependencies is probably the best thing for my general area. Otherwise, improving the interaction between spack and existent python packaging/isolation systems would be great. ",No,Thanks for all your hard work!,
2/26/2023 17:09:06,Software Developer,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,No,No,scale.ornl.gov,"Fortran, C, C++, Python",HPC / Simulation,Used at my site,1,No,0.17,"macOS 12 (Monterey), RHEL 7, RHEL 8, CentOS 6, CentOS 7, CentOS 8, Ubuntu 18, Ubuntu 20",10 - 100,"3.7, 3.8, 3.9",Spack environments,"Environments, New `require:` directive in packages.yaml, concretization: --reuse (default), concretization: --fresh (build everything fresh)",Yes -- just one,No,No,"AMD, Intel",No GPUs,"gcc, Intel Compilers, LLVM",Very Important,Critical,Somewhat important,Slightly Important,Not Important,Slightly Important,Somewhat important,Critical,Somewhat important,Very Important,Slightly Important,Slightly Important,Not Important,Not Important,Not Important,Not Important,,No,Yes,"Documentation, Coworkers",Monthly,Probably not,Probably not,Good,OK,OK,Bad,"Our SCALE team was introduced to Spack by Seth Johnson as they were using it to build Shift on HPC. We are all used to using package managers like brew or apt. Trilinos is our major dependency. We have a mixed codebase with C C++ and fortran. we are moving away from fortran but we currently need it to build. Spack certainly makes things possible that would otherwise be difficult, but all of the non HPC oriented members of the team have been frustrated using it. Once we started always using environments it made it a little better. Without Seth pushing us, we would not stick with it. People find it easier to build dependencies using cmake.",,Seems overly complex for casual developers who just want to use it to install dependencies for the code their working on.,Enable on windows.,,,
