Timestamp,What kind of user are you?,Where do you work?,What country are you in?,What languages do you primarily program in?,What are your primary application areas?,How did you find out about Spack?,How long have you been using Spack?,Have you contributed to Spack?,What version(s) of Spack do you use?,What OS do you use Spack on?,How many package installations have you done with Spack in the past year?,What Python version(s) do you use to run Spack?,How do you get installed Spack packages into your environment?,Which of the following Spack features do you use? (details at https://github.com/spack/spack/releases),Do you have your own local Spack package repositories?,Do you have any local modifications to Spack itself?,Do you use any third-party tools/front-ends to do development with Spack?,Which processors do you expect to use with Spack in the next year?,Which GPUs / Accelerators do you expect to use with Spack in the next year?,Which compilers do you expect to use with Spack in the next year?,Rank these TBD Spack features by importance [Better error messages],Rank these TBD Spack features by importance [Testing / integration with Pavilion2/ReFrame/other test tool],Rank these TBD Spack features by importance [More packages in public build caches],Rank these TBD Spack features by importance [Better organized/publicized public build caches],Rank these TBD Spack features by importance [Better compiler flag handling],Rank these TBD Spack features by importance [Performance/speed improvements],Rank these TBD Spack features by importance [Better autodetection of system packages],Rank these TBD Spack features by importance [Better GPU compiler support],Rank these TBD Spack features by importance [Generate GitHub Actions pipelines + build caches],Rank these TBD Spack features by importance [More developer features],Rank these TBD Spack features by importance [Improvements for `spack test`],Rank these TBD Spack features by importance [Better CI Stability / faster PR turnaround],Rank these TBD Spack features by importance [SpackOS/support for custom libc],Rank these TBD Spack features by importance [Cross-compilation],Rank these TBD Spack features by importance [More build parallelism],Rank these TBD Spack features by importance [Separate the builtin repo from core],What features NOT in the prior list would you like to see (tell us your wish list)?,Has Spack's transition into Linux Foundation / HPSF given you more confidence in the project?,"Will you be attending the Spack User Meeting at HPSFCon, May 5-8?",Have you attended a Spack Tutorial?,How do you get help with Spack when you need it?,How often do you consult the Spack documentation?,"If there were commercial support for Spack, would you or your organization buy it?",How would you rate the overall quality of ... [Spack documentation],How would you rate the overall quality of ... [Spack community],How would you rate the overall quality of ... [Spack packages],How would you rate the overall quality of ... [Spack],"What is the most recent thing you did with Spack, anywhere from installing a package to modifying the core functionality?",Tell us briefly about your use case and your usual Spack workflow.,What about Spack has helped you the most in the past year?,What are the biggest pain points in Spack for your workflow? (feel free to link to issues),What's the biggest thing we could do to improve Spack over the next year?,Are there key packages you'd like to see in Spack that are not included yet?,Do you have any other comments for us?,"If you're interested in being contacted about your response, please leave us your email.",,,,,,
4/9/2025 0:13:09,System Administrator,Paul Scherrer Institut,Switzerland,"Python, sh/bash/other shell script",System Administration,Word of mouth,6,"Packages, Core Features",develop (1.0.0dev0),SLES15,"500-1,000",3.13,Lmod,"Environments, Module generation, Chaining (upstreams), Stacks (matrices in environments), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), Externals in packages.yaml, Concretization preferences in packages.yaml, `require:` directive in packages.yaml, `prefer:` directive in packages.yaml, concretization: --reuse (default), concretizer:unify:when_possible, spack load, spack diff (compare two specs), include_concrete",Yes -- several,Yes,No,"Intel, ARM","NVIDIA Ampere, NVIDIA Hopper","gcc, Classic Intel Compilers, Intel OneAPI, NVHPC, LLVM, CCE (Cray Compilers)",Very Important,Not Important,Not Important,Not Important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Somewhat important,Very Important,Backward compatibility as critical,Yes,No,Yes,"Documentation, Slack, GitHub Issues, GitHub Discussions, Source Code",Daily,Probably not,Good,Excellent,Good,Good,Installing ghosctip,I have two stages environment and provide packages to users and configuration to help them build software on our cluster,Installing software fast and easilier,"concretization failing but having absolutely no idea why, even with spack -d",better the concretization debugging,g4beamline,,,,,,,,
4/9/2025 0:13:09,Software Developer,Private Research Lab,Canada,"C++, Python","AI/ML, Bioinformatics",Presentation,0,No,0.23,"macOS 11 (Ventura), Ubuntu 22, Ubuntu 24, Windows 11","500-1,000","3.8, 3.9, 3.10",spack load,"Mirrors (spack mirror create / air gap support), Build caches (making binary packages), OCI build caches (pushing packages to container registries), Public build caches at cache.spack.io / binaries.spack.io, E4S build caches (https://e4s.io), spack load",Yes -- just one,No,,"Intel, ARM","NVIDIA Ampere, NVIDIA Hopper, NVIDIA Blackwell, Cerebras","gcc, Intel OneAPI, LLVM, armclang",Somewhat important,Not Important,Very Important,Very Important,Very Important,Very Important,Slightly Important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,"spack porcelain (just like git, but very high level api for one or two commands for fast use)",Yes,No,Yes,"Documentation, ChatGPT / other LLMs, Perplexity / Gemini / Claude Code",Monthly,Probably,Excellent,Excellent,Good,Excellent,Installing custom packages with a custom repository.,Installing private packages on internal workflows,Allowed me to easily compile on macos and ubuntu.,Not enough spack porcelain. Running 10 commands when 1 or 2 porcelain would do.,spack porcelain; easy private build caches; LLM agents to generate countless spack packages,n/a,You guys rock. Spack is amazing.,,,,,,,
4/9/2025 0:19:53,HPC User / Analyst,University HPC/Computing Center,France,"Fortran, Python",HPC / Simulation,Word of mouth,0,"Slack Discussions, Issues",develop (1.0.0dev0),linux-rocky9-zen4 ,1 - 10,3.9,Environment Modules (TCL modules),Module generation,Yes -- just one,Yes,No,AMD,AMD MI100,"gcc, Intel OneAPI, AMD ROCmCC (amdclang/hipcc)",Very Important,Slightly Important,Very Important,Very Important,Very Important,Critical,Somewhat important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Critical,Not Important,,,No,No,"Documentation, Slack, GitHub Issues",Monthly,No,Good,OK,Good,Excellent,installing packages,,,,,,,,,,,,,
4/9/2025 0:37:48,Research Software Engineer (RSE),University HPC/Computing Center,Switzerland,"Fortran, C, C++, Python","HPC / Simulation, AI/ML",Used at my site,2,"Packages, Slack Discussions, Issues, Tools/integrations","0.23, develop (1.0.0dev0)","macOS 11 (Ventura), Ubuntu 22, Ubuntu 24, SLES15","> 1,000",3.11,"Spack environments, spack build-env","Environments, Chaining (upstreams), Build caches (making binary packages), Public build caches at cache.spack.io / binaries.spack.io, build-env (debug a build), spack external find, Externals in packages.yaml, `require:` directive in packages.yaml, `prefer:` directive in packages.yaml, spack develop, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Multiple build systems in one package, Variant/flag propagation (++, ~~, ==), spack test, spackbot (@spackbot fix style; @spackbot rebuild everything, etc.)",Yes -- several,No,Other script to wrap spack,"AMD, ARM","NVIDIA Ampere, NVIDIA Hopper, AMD MI200/250X, AMD MI300X","gcc, NVHPC, LLVM",Very Important,Not Important,Slightly Important,Slightly Important,Somewhat important,Very Important,Somewhat important,Critical,Slightly Important,Very Important,Somewhat important,Slightly Important,Not Important,Slightly Important,Somewhat important,Critical,,Not sure,No,Yes,"Documentation, Slack, GitHub Issues",Weekly,Probably not,Good,Excellent,OK,Good,"I built my own Spack development wrapper around Spack to make sure I can automatically concretize and environment, install all the dependencies, and put myself in the build environment after running the initial phases of the build system (usually CMake). I love being able to setup my development environment with a single command.",,,,,,,,,,,,,
4/9/2025 0:56:11,System Administrator,University HPC/Computing Center,Germany,"Fortran, C, C++, Python, sh/bash/other shell script","HPC / Simulation, High Energy Physics, User Support, System Administration",Used at my site,0,No,0.23,"RHEL 8, RHEL9",200 - 500,"3.9, 3.11, 3.12","spack load, Spack environments, Lmod","Environments, Module generation, Chaining (upstreams), Stacks (matrices in environments), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), E4S build caches (https://e4s.io), build-env (debug a build), Externals in packages.yaml, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:when_possible, spack load, spack diff (compare two specs)",Yes -- just one,No,No,"AMD, Intel, ARM","NVIDIA T4, NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, NVIDIA Blackwell, AMD MI300X, Intel Xe (Ponte Vecchio)","gcc, Classic Intel Compilers, Intel OneAPI, NVHPC, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), armclang",Very Important,Slightly Important,Somewhat important,Somewhat important,Very Important,Slightly Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Slightly Important,Very Important,Very Important,,Yes,No,Yes,"Documentation, Slack, Coworkers",Daily,Probably,Good,Excellent,OK,Good,Building a software stack,"Build the software stack for users, with different compilers and MPI implementations, with support for different GPU types",,Several packages fail to compile (with chain effects); problems in building packages with INTEL and AMD GPU support.,,,,,,,,,,
4/9/2025 0:57:06,System Administrator,University research group,Taiwan,"C, C++, Python, sh/bash/other shell script",System Administration,Tutorial,0,Issues,0.23,Debian 12,10 - 100,3.11,Spack environments,"Environments, spack external find, concretizer:unify:true (concretize together), concretizer:unify:when_possible",No,Yes,No,"AMD, Intel",NVIDIA Other,"gcc, LLVM, nvcc (CUDA)",Very Important,Slightly Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Slightly Important,,Not sure,No,No,"Documentation, GitHub Issues, Source Code",Weekly,Probably not,Good,OK,OK,OK,install environment for a course in my department.,,,,,,,,,,,,,
4/9/2025 1:10:19,Scientist/Researcher,Other Public Research Lab,France,C,"HPC / Simulation, Computer Science",Word of mouth,4,"Packages, Slack Discussions",develop (1.0.0dev0),"Debian 11, Debian 12, Alpine",100 - 200,3.13,spack load,"Environments, Module generation, Externals in packages.yaml, spack develop, Git versions, spack load",Yes -- just one,No,No,"AMD, Intel, ARM","NVIDIA Ampere, NVIDIA Hopper, AMD MI200/250X, AMD MI300A, Intel Xe (Ponte Vecchio)","gcc, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA)",Somewhat important,Not Important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Slightly Important,Slightly Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Somewhat important,Very Important,,Not sure,No,Yes,"Documentation, Slack",Monthly,Probably not,Good,Good,Good,Good,contribute a package,,,,,,,,,,,,,
4/9/2025 1:10:28,DevOps/SRE,University HPC/Computing Center,Switzerland,"Fortran, C, C++, Python","HPC / Simulation, Statistics / Data Analysis, AI/ML, User Support",Word of mouth,8,"Packages, Slack Discussions, GitHub Discussions, Issues, Tools/integrations","0.22, 0.23, 1.0.0-alpha* pre-releases, develop (1.0.0dev0)",SLES15,"> 1,000",3.6,"Environment Modules (TCL modules), spack view, Custom script or env vars","Environments, Module generation, Chaining (upstreams), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, `require:` directive in packages.yaml, `prefer:` directive in packages.yaml, concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Multiple build systems in one package, Variant/flag propagation (++, ~~, ==)",Yes -- several,My site has a front-end or extension to Spack,the fantastic stackinator: https://github.com/eth-cscs/stackinator,"AMD, ARM","NVIDIA Ampere, NVIDIA Hopper, AMD MI200/250X, AMD MI300A","gcc, NVHPC, LLVM, nvcc (CUDA)",Very Important,Slightly Important,Not Important,Not Important,Somewhat important,Very Important,Slightly Important,Critical,Not Important,Not Important,Not Important,Somewhat important,Slightly Important,Not Important,Somewhat important,Critical,BYO compiler toolchain (mainly nvfortran-gcc-g++),Not sure,No,No,"Documentation, Slack, Coworkers",Daily,No,Good,Excellent,Good,Excellent,I built a software stack for our weather and climate users.,"I create the tools and pipelines for deploying spack-based software stacks at CSCS.
The tools use spack directly to build full software stacks based on recipes.",,"Generating modules - there have been multiple changes over the last year to how modules are generated, each on breaking what was a stable process.
Build caches - being able to audit build caches, and delete packages in a clean way.
Also, we have to exclude some packages from build caches because they contain hard-coded paths to compilers, which can come back to bite us later (looking at you, perl, python, libtool). It would be great to be able to enable auto push to build cache, with a blacklist of packages to never push.",Decoupling Spack from the package repository would help us a lot.,"Not really missing, but the ML/AI packages like tensorflow and torch are already there, but building them (particularly tensorflow) is disgustingly difficult because many dependencies are up to date.
This is probably an intractable problem for Spack to solve, given the state of Python packaging and how tricky these packages are to install using any method.",Thanks very much for such a great tool and community - I couldn't deliver the quality of service that we do without it!,,,,,,,
4/9/2025 1:21:25,Performance Architect,Company,United Kingdom,"Fortran, C, C++, Python, Rust, sh/bash/other shell script, bpf","Compiler Testing, library testing",Word of mouth,10,"Packages, Core Features, Slack Discussions, GitHub Discussions, Issues, Spack Community Zoom Meetings","0.23, 1.0.0-alpha* pre-releases, develop (1.0.0dev0)","Rocky 8, Rocky 9, Ubuntu 22, Ubuntu 24, Windows Subsystem for Linux (WSL), Gentoo","> 1,000","3.9, 3.10, 3.12","spack load, Spack environments, Environment Modules (TCL modules), Containers, custom containerisation","Environments, Module generation, Build caches (making binary packages), build-env (debug a build), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, `require:` directive in packages.yaml, Distributed Builds (srun/mpirun spack install), spack develop, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Multiple build systems in one package, Variant/flag propagation (++, ~~, ==), Git versions",Yes -- several,My site has a front-end or extension to Spack,Other script to wrap spack,"AMD, Intel, ARM",No GPUs,"gcc, Classic Intel Compilers, Intel OneAPI, LLVM, AMD AOCC",Very Important,Slightly Important,Not Important,Not Important,Very Important,Slightly Important,Slightly Important,Not Important,Not Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Not Important,,No,No,No,"Documentation, Slack, GitHub Issues, GitHub Discussions, Weekly Telecons",Daily,Probably not,Good,Excellent,Good,Good,fix compiler and packages broken by 1.0.0dev,Automated testing using custom framework wrapping spack,It's existence :) Providing a consistent interface to build packages - there is nobody else doing this!,"Difficult to see what the compiler flags really were, hard to inject custom flags for testing",Better compiler wrapper that allows flag injection and better logging of compiler flags in build output,,,,,,,,,
4/9/2025 1:46:22,HPC Application Engineer,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",India,"Fortran, C, C++, Python, Julia, Rust, Go, Perl, R","HPC / Simulation, Statistics / Data Analysis, AI/ML, Computer Science, Bioinformatics, High Energy Physics, Web applications, Compiler Testing, Visualization, Embedded Systems, User Support, System Administration, DevOps",Used at my site,3,"Issues, Tools/integrations, Spack User Meeting Talk, Spack Community Zoom Meetings","0.21, 0.22, 0.23, 1.0.0-alpha* pre-releases","CentOS 7, AlmaLinux 8, Debian 11","> 1,000","2.7, 3.7, 3.8, 3.9, 3.10, 3.11, 3.12","spack load, Spack environments, Lmod, Environment Modules (TCL modules), Custom script or env vars","Environments, spack containerize, Stacks (matrices in environments), spack-python (Python scripting), spack external find, Concretization preferences in packages.yaml, spack test, spack load, spack diff (compare two specs), spack env track",Yes -- several,My site has a front-end or extension to Spack,spack-stack (https://github.com/JCSDA/spack-stack),"AMD, Intel","NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, AMD MI300A, AMD MI300X, Intel Gaudi","gcc, Classic Intel Compilers, Intel OneAPI, NVHPC, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA)",Slightly Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Critical,Critical,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Critical,Very Important,Those applications are not in spack repo please add them.,Yes,"Yes, I'm presenting!",Yes,"Documentation, Slack, GitHub Issues, GitHub Discussions, spack help, Source Code, ChatGPT / other LLMs",Daily,Probably not,Good,Excellent,Excellent,Excellent,I have installed OpenFAOM@1706 and SIESTA@5 with help of SPACK,I'm handling multiple PARAM series supercomputers under NSM in India.,Most of the packages i have installed with spack,Those applications are not in spack please add them too.,Facing difficulties to install more CUDA and ROCM support versions make them easy.,More packages are there.,Facing difficulties to install more CUDA and ROCM support versions make them easy.,,,,,,,
