Timestamp,What kind of user are you?,Where do you work?,What country are you in?,Are you part of the U.S. Exascale Computing Project (ECP)?,What are your primary application areas?,How did you find out about Spack?,How long have you been using Spack?,Have you contributed to Spack?,What version(s) of Spack do you use?,What OS do you use Spack on?,How many software installations have you done with Spack in the past year?,What Python version(s) do you use to run Spack?,How bad would it be if Spack dropped support for Python 2.6?,How bad would it be if Spack ONLY worked with Python 3?,How do you get installed Spack packages into your environment?,Which of the following Spack features do you use?,Which processors do you expect to use with Spack in the next year?,Which GPUs do you expect to use with Spack in the next year?,Which compilers do you expect to use with Spack in the next year?,"Rank these TBD Spack features by importance [New, backtracking concretizer]",Rank these TBD Spack features by importance [Use existing installs more aggressively],Rank these TBD Spack features by importance [Separate concretization of build dependencies ],Rank these TBD Spack features by importance [AWS/Azure/GCP/Cloud integration],"Rank these TBD Spack features by importance [Optimized, public binary packages]",Rank these TBD Spack features by importance [Better Developer features (easily develop multiple packages + 3rd party dependencies)],Rank these TBD Spack features by importance [Notifications about changes to my packages],Rank these TBD Spack features by importance [Build testing for every PR],"Rank these TBD Spack features by importance [Language virtual dependencies (e.g., depends_on(""cxx@2017:""))]",Rank these TBD Spack features by importance [Testing / integration with Pavilion2/ReFrame/other test tool],Rank these TBD Spack features by importance [Better compiler flag handling],Rank these TBD Spack features by importance [Windows Support],What features NOT in the prior list would you like to see?,"If we had a (virtual) workshop on Spack, would you attend? ",Have you done a Spack Tutorial?,How do you get help with Spack when you need it?,How often do you consult the Spack documentation?,"If there were commercial support for Spack, would you or your organization buy it?",How would you rate the overall quality of ... [Spack documentation],How would you rate the overall quality of ... [Spack community],How would you rate the overall quality of ... [Spack packages],How would you rate the overall quality of ... [Spack],Tell us briefly about your use case and your usual Spack workflow.,What about Spack helps you the most?,What are the biggest pain points in Spack for your workflow? (feel free to link to issues),What's the biggest thing we could do to improve Spack over the next year?,Are there key packages you'd like to see in Spack that are not included yet?,Do you have any other comments for us?
11/17/2020 18:23:58,Software Developer,University HPC/Computing Center,United Kingdom,No,Traditional HPC / Simulation,Word of mouth,0,"Packages, Slack Discussions",develop,"macOS, Red Hat, Ubuntu",10 - 100,"3.6, 3.7, 3.8",Do it!,Do it!,"spack load, Spack environments, Environment Modules (TCL modules)",Environments,"AMD, Intel, ARM",NVIDIA,"gcc, Intel Compilers, Intel OneAPI / dpc++, LLVM, nvcc",Not Important,Slightly Important,Somewhat important,Not Important,Slightly Important,Somewhat important,Slightly Important,Somewhat important,Not Important,Somewhat important,Slightly Important,Not Important,,Maybe,No,"Documentation, Slack, Coworkers",Monthly,Probably not,OK,Good,OK,OK,installing a specific package on HPC,"when it works, it is great to just be able to sit back and let it build",when it fails unpredictably midway through a long build,fix broken packages,moose,
11/17/2020 18:24:44,Software Developer,Company,United Kingdom,No,Traditional HPC / Simulation,Word of mouth,0,No,0.14,"Red Hat, Ubuntu",10 - 100,"3.6, 3.7, 3.8",Do it!,Do it!,spack load,"Binary Caches, spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml","Intel, ARM",NVIDIA,"gcc, armclang",Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Not Important,Support for substitution of common libs like FFTW for vendor-supplied equivalent maths libs.,Maybe,Yes,"Documentation, Coworkers",Monthly,Probably not,Bad,OK,Bad,Bad,,,,,,
11/17/2020 18:25:24,Scientist/Researcher,Other Public Research Lab,France,No,Traditional HPC / Simulation,Word of mouth,1,Packages,"0.15, develop","CentOS, Ubuntu, Debian, Arch",10 - 100,"3.7, 3.8",Do it!,Do it!,spack load,"Module generation, build-env (debug a build)","AMD, Intel",NVIDIA,gcc,Very Important,Somewhat important,Slightly Important,Not Important,Not Important,Critical,Very Important,Somewhat important,Somewhat important,Not Important,Somewhat important,Not Important,,"Yes, I'd attend",Yes,"Documentation, Slack",Monthly,Probably not,Good,Good,Good,Excellent,I am using spack to install dependencies before working on my own sofware,Install correct dependencies ,package/sofware development is not so straightforward,better developer functionalities,,
11/17/2020 18:26:08,Software Developer,Other Public Research Lab,Switzerland,No,Traditional HPC / Simulation,Word of mouth,1,Packages,develop,"CentOS, Arch",200 - 500,3.8,Do it!,Do it!,"spack load, Spack environments","Environments, build-env (debug a build)","AMD, Intel","NVIDIA, AMD","gcc, LLVM, AMD aocc, AMD hipclang, nvcc, CCE (Cray Compilers)",Very Important,Very Important,Somewhat important,Not Important,Somewhat important,Very Important,Slightly Important,Very Important,Somewhat important,Slightly Important,Slightly Important,Not Important,,"Yes, I'd attend",Yes,"Documentation, Slack, Coworkers",Weekly,Probably not,Good,Good,Good,Good,,,,,,
11/17/2020 18:27:33,Software Developer,Other Public Research Lab,Japan,No,Traditional HPC / Simulation,Used at my site,5,Packages,develop,"Red Hat, CentOS",100 - 200,"2.7, 3.5, 3.6",Do it!,Do it!,spack load,"Chaining, Stacks (matrices in environments), Command Extensions","Intel, ARM",NVIDIA,"gcc, LLVM, Fujitsu Compilers, armclang",Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,,"Yes, I'd attend",No,Slack,Weekly,Probably not,Excellent,Excellent,Excellent,Excellent,,,,,,
11/17/2020 18:28:51,System Administrator,Other Public Research Lab,Japan,No,"Traditional HPC / Simulation, Computer Science Research",Tutorial,1,"Packages, Core Features, Slack Discussions",develop,"Red Hat, CentOS","> 1,000",3.6,I'd live.  (I can provide 2.7 somehow),I'd live (I can provide Python 3 somehow),spack load,"Chaining, spack external find, Distributed Builds (srun spack install)","Intel, ARM",NVIDIA,"gcc, Fujitsu Compilers, armclang",Very Important,Somewhat important,Slightly Important,Not Important,Slightly Important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Not Important,cross build,Maybe,Yes,"Documentation, Slack",Daily,Probably not,Good,Excellent,Excellent,Excellent,,,,,,
11/17/2020 18:30:34,Software Developer,University HPC/Computing Center,Switzerland,No,Traditional HPC / Simulation,Word of mouth,1,No,develop,"macOS, Red Hat, Ubuntu",1 - 10,"3.7, 3.8",Do it!,Do it!,"spack load, Spack environments","Environments, Module generation, Distributed Builds (srun spack install)","AMD, Intel","NVIDIA, AMD","gcc, AMD aocc, AMD hipclang, nvcc",Somewhat important,Very Important,Somewhat important,Slightly Important,Slightly Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not Important,,Maybe,No,"Documentation, Slack, Coworkers",Monthly,Probably not,Good,Good,Good,Good,,,,,,
11/17/2020 18:32:43,Software Developer,University HPC/Computing Center,Switzerland,No,Traditional HPC / Simulation,Word of mouth,2,"Packages, Slack Discussions, Issues","0.13, 0.15","Red Hat, Ubuntu","> 1,000",3.5,Do it!,Do it!,"spack load, Spack environments, Environment Modules (TCL modules)","Environments, Module generation, Chaining, Stacks (matrices in environments), Binary Caches, build-env (debug a build), spack-python (Python scripting), Externals in packages.yaml, Concretization preferences in packages.yaml, Distributed Builds (srun spack install)",Intel,NVIDIA,"gcc, Intel Compilers, Intel OneAPI / dpc++, PGI, NVIDIA Compilers (new PGI), LLVM",Very Important,Very Important,Very Important,Not Important,Not Important,Very Important,Not Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Not Important,JUnit reports,"Yes, I'd present something!",No,"Documentation, Slack, Coworkers",Weekly,Probably not,Good,Good,Good,Good,"As a developer, lots of dev-build and building in environments, deleting installs, playing around with variants. As the responsible one for software deployment, I customize our branch of Spack quite a bit to help deploy several hundred software packages in a continuous deployment using chains (and environments in the future). Currently, a full deployment from scratch takes about 24h, adding a single package ~20m.","Absolute flexibility, especially compared to, i.e., nix. And dependency handling, which I never want to do manually again.","Right now, the time it takes to concretize in our deployment with ~2000 packages already in the database.","Faster concretization, preferably in a stable release. Resource handling that allows for different source downloads depending on the variants.",,
11/17/2020 18:34:48,Software Developer,Company,France,No,Computer Science Research,Word of mouth,1,"Packages, Documentation, Slack Discussions",0.15,"CentOS, Ubuntu",100 - 200,2.7,Do it!,Do it!,"Spack environments, Environment Modules (TCL modules)","Environments, Module generation, Externals in packages.yaml, Concretization preferences in packages.yaml","AMD, Intel",NVIDIA,gcc,Slightly Important,Somewhat important,Somewhat important,Not Important,Not Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not Important,Slightly Important,Not Important,more documentation about python packaging (in a virtual env),"Yes, I'd attend",Yes,"Documentation, Coworkers",Daily,Probably not,Good,Good,Good,Good,"I'm using Spack to be able to install my project (a python package) with other Spack packages from my company. But I want to be able to still use «pip».
About the workflow, I'm following my coworkers.",Installing Qt and PySide2 (except the WebEngine),Accents and utf-8 in recipes (in package.py),"Improving some messages such as «==> Updating view at /nfs2/mdorier/spack/var/spack/environments/colza-env/.spack-env/view
==> Error: the transactional move of ""/.../myenv/.spack-env/view"" failed.»",,
11/17/2020 18:36:29,Software Developer,University HPC/Computing Center,Singapore,No,"Traditional HPC / Simulation, AI/ML, Bioinformatics",Word of mouth,0,No,0.15,"CentOS, Fedora",1 - 10,"3.7, 3.8",I'd live.  (I can provide 2.7 somehow),Do it!,"spack load, Lmod, Environment Modules (TCL modules)","Environments, Externals in packages.yaml","AMD, Intel, ARM",NVIDIA,"gcc, Intel Compilers, AMD aocc, nvcc, CCE (Cray Compilers)",Slightly Important,Somewhat important,Critical,Somewhat important,Critical,Very Important,Very Important,Somewhat important,Somewhat important,Not Important,Somewhat important,Not Important,"May be towards ease of production deployment and updates. More stringent test and choice on the dependency package versions to ensure at least a success build, not to say completing regression tests of the applications.","Yes, I'd attend",No,"Documentation, Slack, Mailing List",Daily,Probably not,OK,Excellent,OK,OK,Still at explore stage to resolve HPC software build and management issues. Build multiple versions for HPC benchmarking. Spack could be used to learn how to build new applications.,Easily build different application versions.,"After waiting for hours for an install, and fail at the last stage due to incompatible library versions e.g. linking errors, where these could have been avoided if the official choice of library versions have been used.","More stringent dependent library versions controlled rather than leaving open ended for many. We know that from experience, no software can forever work with all future dependent library versions.",WRF. I'm aware that it's now included in develop branch.,Great work and great community. I wish to take part in the near future.
